ticker,name,sector,market,status,delist_reason,total_ret,cagr,mdd,ann_vol,best_year,worst_year,med_daily_value,pattern,artifact_tier,artifact_suspect,n_over_limit,n_intmult,jump_zero_vol,zero_vol_pct,max_flat_run,last_vs_peak_pct,final_30d_pct,n_days,first_date,last_date
196170,알테오젠,70113.0,KOSDAQ,survivor,,149.6575,0.5744,-0.7689,0.6829,2020:437%,2022:-39%,13261604534.34961,sideways,clean,False,0,0,0,0.006,3,,,2708,2014-12-12,2025-12-30
042700,한미반도체,29271.0,KOSPI,survivor,,75.9003,0.4364,-0.6789,0.5204,2023:437%,2022:-38%,3202880897.3847656,sideways,clean,False,0,0,0,0.012,17,,,2941,2014-01-02,2025-12-30
028300,HLB,213.0,KOSDAQ,survivor,,54.2086,0.3972,-0.8292,0.7478,2017:194%,2016:-39%,27414030671.13281,sideways,clean,False,0,0,0,0.006,2,,,2941,2014-01-02,2025-12-30
003230,삼양식품,108.0,KOSPI,survivor,,53.7716,0.3963,-0.5755,0.4528,2024:255%,2018:-46%,4082822527.945313,spike,clean,False,0,0,0,0.006,3,,,2941,2014-01-02,2025-12-30
000250,삼천당제약,212.0,KOSDAQ,survivor,,52.6,0.3938,-0.6857,0.6175,2018:146%,2021:-47%,8836110563.832031,spike,clean,False,0,0,0,0.005,3,,,2941,2014-01-02,2025-12-30
007390,네이처셀,211.0,,survivor,,39.4993,0.3616,-0.9206,0.8798,2017:395%,2018:-48%,6655153450.0,sideways,clean,False,0,0,0,0.007,3,,,2941,2014-01-02,2025-12-30
298040,효성중공업,281.0,KOSPI,survivor,,32.095,0.5979,-0.8622,0.5888,2025:355%,2019:-36%,6531539179.742188,sideways,clean,False,0,0,0,0.004,2,,,1830,2018-07-13,2025-12-30
041190,우리기술투자,6491.0,,survivor,,31.3932,0.3365,-0.8769,0.7421,2017:411%,2022:-59%,4009050000.0,spike,clean,False,0,0,0,0.007,3,,,2941,2014-01-02,2025-12-30
065350,신성델타테크,28519.0,,survivor,,27.059,0.3206,-0.7402,0.6626,2023:429%,2022:-52%,935667554.4267578,sideways,clean,False,0,0,0,0.005,4,,,2941,2014-01-02,2025-12-30
039200,오스코텍,212.0,,survivor,,24.7085,0.311,-0.7568,0.6449,2015:259%,2022:-51%,4605291600.0,sideways,clean,False,0,0,0,0.006,3,,,2941,2014-01-02,2025-12-30
140860,파크시스템스,27219.0,,survivor,,23.9242,0.3777,-0.5867,0.4575,2020:134%,2022:-25%,2196115065.5039062,spike,clean,False,0,0,0,0.006,3,,,2456,2015-12-17,2025-12-30
138040,메리츠금융지주,64992.0,KOSPI,survivor,,23.2355,0.3045,-0.6266,0.3577,2021:351%,2018:-20%,1340295717.7070312,spike,clean,False,0,0,0,0.005,3,,,2941,2014-01-02,2025-12-30
007660,이수페타시스,2622.0,KOSPI,survivor,,21.4028,0.296,-0.7439,0.5864,2023:425%,2019:-36%,3417411032.235352,sideways,clean,False,0,0,0,0.004,2,,,2941,2014-01-02,2025-12-30
064760,티씨케이,23999.0,KOSDAQ,survivor,,21.0498,0.2943,-0.7115,0.4776,2015:218%,2018:-46%,2638205820.8789062,sideways,clean,False,0,0,0,0.005,3,,,2941,2014-01-02,2025-12-30
058610,에스피지,28111.0,KOSDAQ,survivor,,20.9269,0.2937,-0.7303,0.5137,2025:249%,2024:-35%,1499043855.190918,spike,clean,False,0,0,0,0.006,6,,,2941,2014-01-02,2025-12-30
065710,서호전기,28123.0,,survivor,,20.2438,0.2903,-0.5507,0.3836,2025:183%,2018:-14%,138788794.6875,spike,clean,False,0,0,0,0.005,4,,,2941,2014-01-02,2025-12-30
000660,SK하이닉스,2612.0,KOSPI,survivor,,20.2079,0.2901,-0.4925,0.3881,2025:278%,2022:-42%,249651462574.14062,spike,clean,False,0,0,0,0.006,3,,,2941,2014-01-02,2025-12-30
049720,고려신용정보,75993.0,,survivor,,19.7936,0.288,-0.4517,0.3378,2015:153%,2016:-13%,205398610.68847656,spike,clean,False,0,0,0,0.01,8,,,2941,2014-01-02,2025-12-30
101490,에스앤에스텍,2629.0,KOSDAQ,survivor,,17.7523,0.2769,-0.7662,0.5445,2020:257%,2017:-46%,2751903453.1875,sideways,clean,False,0,0,0,0.006,3,,,2941,2014-01-02,2025-12-30
141080,리가켐바이오,70113.0,KOSDAQ,survivor,,17.2842,0.2742,-0.5755,0.6007,2020:166%,2022:-23%,6069000550.0,spike,clean,False,0,0,0,0.004,2,,,2941,2014-01-02,2025-12-30
000650,천일고속,49220.0,,survivor,,17.1727,0.2736,-0.598,0.4843,2025:881%,2024:-24%,31098620.8203125,spike,clean,False,0,0,0,0.007,4,,,2941,2014-01-02,2025-12-30
277810,레인보우로보틱스,29280.0,KOSDAQ,survivor,,17.0962,0.805,-0.4742,0.6811,2023:411%,2024:-8%,20146151750.0,spike,clean,False,0,0,0,0.006,2,,,1200,2021-02-03,2025-12-30
012450,한화에어로스페이스,31321.0,KOSPI,survivor,,16.3108,0.2684,-0.7784,0.4803,2025:191%,2017:-18%,16251870252.978516,spike,clean,False,0,0,0,0.013,12,,,2941,2014-01-02,2025-12-30
003670,포스코퓨처엠,282.0,KOSPI,survivor,,16.1504,0.2674,-0.8325,0.4936,2017:235%,2024:-60%,29584237866.47656,spike,clean,False,0,0,0,0.009,11,,,2941,2014-01-02,2025-12-30
090360,로보스타,29280.0,,survivor,,15.9319,0.2661,-0.8319,0.5787,2025:266%,2022:-30%,1641647520.0,spike,clean,False,0,0,0,0.005,3,,,2941,2014-01-02,2025-12-30
035900,JYP Ent.,59201.0,,survivor,,15.5082,0.2634,-0.6899,0.4386,2017:179%,2024:-30%,13458881076.164062,spike,clean,False,0,0,0,0.005,3,,,2941,2014-01-02,2025-12-30
058470,리노공업,2629.0,KOSDAQ,survivor,,15.4418,0.263,-0.496,0.3814,2020:112%,2022:-20%,3309421928.7597656,spike,clean,False,0,0,0,0.01,11,,,2941,2014-01-02,2025-12-30
066970,엘앤에프,28202.0,KOSPI,survivor,,15.2456,0.2617,-0.8582,0.5999,2020:239%,2024:-60%,14022961637.890623,sideways,clean,False,0,0,0,0.006,3,,,2941,2014-01-02,2025-12-30
089030,테크윙,29271.0,KOSDAQ,survivor,,15.2395,0.2617,-0.6155,0.5123,2024:237%,2018:-54%,2752453489.602539,spike,clean,False,0,0,0,0.004,2,,,2941,2014-01-02,2025-12-30
126340,비나텍,282.0,,survivor,,14.8587,0.2592,-0.7133,0.707,2020:197%,2024:-36%,34903809.154296875,spike,clean,False,0,0,0,0.224,71,,,2941,2014-01-02,2025-12-30
003350,한국화장품제조,20423.0,,survivor,,14.456,0.2565,-0.6968,0.6493,2015:323%,2021:-30%,995564333.4423828,spike,clean,False,0,0,0,0.006,3,,,2941,2014-01-02,2025-12-30
058970,엠로,582.0,,survivor,,13.7628,0.3215,-0.6922,0.697,2023:425%,2025:-42%,78312960.0,sideways,clean,False,0,0,0,0.107,16,,,2365,2016-05-04,2025-12-30
298380,에이비엘바이오,211.0,KOSDAQ,survivor,,13.652,0.465,-0.6547,0.701,2025:569%,2021:-29%,16635088350.0,spike,clean,False,0,0,0,0.006,2,,,1723,2018-12-19,2025-12-30
033100,제룡전기,2811.0,,survivor,,13.6252,0.2507,-0.8106,0.5911,2024:134%,2025:-21%,1492399466.1132812,spike,clean,False,0,0,0,0.006,4,,,2941,2014-01-02,2025-12-30
267260,HD현대일렉트릭,281.0,KOSPI,survivor,,13.3464,0.361,-0.9306,0.5856,2024:366%,2018:-61%,7982959662.580078,sideways,clean,False,0,0,0,0.006,3,,,2116,2017-05-10,2025-12-30
138610,나이벡,213.0,,survivor,,13.1851,0.2475,-0.7832,0.6967,2020:290%,2022:-35%,946801400.0,spike,clean,False,0,0,0,0.005,3,,,2941,2014-01-02,2025-12-30
000155,두산우,,,survivor,,12.934,0.2457,-0.704,0.4268,2025:353%,2022:-38%,206435388.75,spike,clean,False,0,0,0,0.011,12,,,2941,2014-01-02,2025-12-30
071055,한국금융지주우,,,survivor,,12.7634,0.2444,-0.5662,0.317,2025:154%,2022:-30%,260603753.96484372,spike,clean,False,0,0,0,0.006,3,,,2941,2014-01-02,2025-12-30
036810,에프에스티,2629.0,,survivor,,11.9431,0.238,-0.6936,0.5632,2020:245%,2022:-38%,1889247564.1230469,spike,clean,False,0,0,0,0.006,3,,,2941,2014-01-02,2025-12-30
087010,펩트론,211.0,KOSDAQ,survivor,,11.8551,0.2771,-0.8175,0.7362,2023:426%,2016:-42%,3972275504.097656,sideways,clean,False,0,0,0,0.005,2,,,2559,2015-07-22,2025-12-30
093520,매커스,4659.0,,survivor,,11.3133,0.2329,-0.6822,0.5461,2025:182%,2024:-33%,684857178.1816406,spike,clean,False,0,0,0,0.005,3,,,2941,2014-01-02,2025-12-30
095340,ISC,465.0,KOSDAQ,survivor,,11.1475,0.2315,-0.8471,0.5661,2020:179%,2018:-54%,3368468456.814453,spike,clean,False,0,0,0,0.006,3,,,2941,2014-01-02,2025-12-30
131970,두산테스나,739.0,KOSDAQ,survivor,,10.9818,0.2301,-0.7117,0.535,2019:164%,2024:-57%,3800296247.875,sideways,clean,False,0,0,0,0.004,2,,,2941,2014-01-02,2025-12-30
323280,태성,292.0,KOSDAQ,survivor,,10.8984,0.4621,-0.6925,0.7342,2024:488%,2022:-18%,537448590.0,spike,clean,False,0,0,0,0.034,50,,,1600,2019-06-24,2025-12-30
093320,케이아이엔엑스,63112.0,,survivor,,10.719,0.2278,-0.5631,0.4261,2020:98%,2021:-30%,802847970.265625,sideways,clean,False,0,0,0,0.005,3,,,2941,2014-01-02,2025-12-30
137400,피엔티,292.0,,survivor,,10.2386,0.2235,-0.6435,0.5255,2020:241%,2024:-25%,5136125047.75,spike,clean,False,0,0,0,0.004,2,,,2941,2014-01-02,2025-12-30
008830,대동기어,292.0,,survivor,,9.8631,0.2201,-0.5916,0.6002,2021:68%,2017:-18%,39504233.70996094,sideways,clean,False,0,0,0,0.018,4,,,2941,2014-01-02,2025-12-30
119850,지엔씨에너지,28111.0,,survivor,,9.6543,0.2181,-0.6864,0.5405,2025:278%,2022:-25%,644447572.2241211,spike,clean,False,0,0,0,0.006,3,,,2941,2014-01-02,2025-12-30
006110,삼아알미늄,24222.0,,survivor,,9.5918,0.2175,-0.8843,0.5892,2020:163%,2024:-68%,334024562.5546875,sideways,clean,False,0,0,0,0.005,4,,,2941,2014-01-02,2025-12-30
075580,세진중공업,31114.0,,survivor,,9.5168,0.2628,-0.6884,0.5204,2020:124%,2022:-10%,978593384.6228029,spike,clean,False,0,0,0,0.006,3,,,2469,2015-11-30,2025-12-30
000990,DB하이텍,2611.0,KOSPI,survivor,,9.4462,0.2161,-0.6408,0.5088,2015:210%,2022:-47%,9328938619.328123,sideways,clean,False,0,0,0,0.009,9,,,2941,2014-01-02,2025-12-30
078350,한양디지텍,2611.0,,survivor,,9.3606,0.2153,-0.744,0.5122,2021:234%,2024:-40%,421568620.0,spike,clean,False,0,0,0,0.005,3,,,2941,2014-01-02,2025-12-30
005290,동진쎄미켐,20129.0,KOSDAQ,survivor,,9.3066,0.2147,-0.7316,0.5075,2019:130%,2018:-67%,10663521980.976562,sideways,clean,False,0,0,0,0.004,2,,,2941,2014-01-02,2025-12-30
036200,유니셈,29271.0,,survivor,,9.1829,0.2135,-0.7273,0.5422,2015:560%,2022:-61%,1864314878.4873047,spike,clean,False,0,0,0,0.006,3,,,2941,2014-01-02,2025-12-30
100840,SNT에너지,29176.0,,survivor,,8.8748,0.2104,-0.6579,0.4719,2024:235%,2016:-35%,308826211.875,spike,clean,False,0,0,0,0.006,3,,,2941,2014-01-02,2025-12-30
257720,실리콘투,46800.0,KOSDAQ,survivor,,8.7437,0.7094,-0.7504,0.8181,2024:324%,2022:-24%,17484587936.160156,spike,clean,False,0,0,0,0.009,3,,,1037,2021-10-01,2025-12-30
014680,한솔케미칼,20129.0,KOSPI,survivor,,8.6993,0.2086,-0.7568,0.4046,2025:138%,2024:-57%,5259356929.265625,spike,clean,False,0,0,0,0.005,3,,,2941,2014-01-02,2025-12-30
003547,대신증권2우B,,,survivor,,8.558,0.2071,-0.3154,0.1714,2021:70%,2022:-18%,80674741.75,steady_grower,clean,False,0,0,0,0.006,4,,,2941,2014-01-02,2025-12-30
247540,에코프로비엠,28202.0,KOSDAQ,survivor,,8.5039,0.391,-0.8242,0.6106,2020:222%,2024:-62%,75588481090.27539,sideways,clean,False,0,0,0,0.004,2,,,1676,2019-03-05,2025-12-30
005070,코스모신소재,204.0,KOSPI,survivor,,8.5015,0.2065,-0.8715,0.5947,2017:199%,2024:-65%,7986703200.0,sideways,clean,False,0,0,0,0.011,18,,,2941,2014-01-02,2025-12-30
003545,대신증권우,,,survivor,,8.4333,0.2058,-0.3362,0.1832,2021:70%,2022:-19%,306396326.25390625,steady_grower,clean,False,0,0,0,0.005,4,,,2941,2014-01-02,2025-12-30
001270,부국증권,66121.0,,survivor,,8.4066,0.2055,-0.4781,0.2902,2025:117%,2022:-20%,38386794.31640625,spike,clean,False,0,0,0,0.009,4,,,2941,2014-01-02,2025-12-30
005945,NH투자증권우,,,survivor,,8.1409,0.2026,-0.3761,0.1961,2025:74%,2022:-19%,264897371.7368164,steady_grower,clean,False,0,0,0,0.006,5,,,2941,2014-01-02,2025-12-30
099320,쎄트렉아이,3131.0,KOSDAQ,survivor,,7.846,0.1994,-0.7134,0.4922,2016:77%,2018:-40%,968265779.2773438,sideways,clean,False,0,0,0,0.006,3,,,2941,2014-01-02,2025-12-30
012205,계양전기우,,,survivor,,7.8431,0.1993,-0.8725,0.6241,2025:245%,2022:-24%,31662190.54125977,spike,clean,False,0,0,0,0.044,106,,,2941,2014-01-02,2025-12-30
010120,LS ELECTRIC,28121.0,KOSPI,survivor,,7.7388,0.1981,-0.6609,0.4451,2025:186%,2018:-23%,4688120437.910156,spike,clean,False,0,0,0,0.006,4,,,2941,2014-01-02,2025-12-30
086390,유니테스트,29271.0,,survivor,,7.5683,0.1962,-0.7639,0.5343,2020:90%,2022:-65%,3456363269.3164062,sideways,clean,False,0,0,0,0.004,3,,,2941,2014-01-02,2025-12-30
067160,SOOP,582.0,,survivor,,7.5251,0.1957,-0.7396,0.529,2021:236%,2022:-65%,6998562755.396484,spike,clean,False,0,0,0,0.006,3,,,2941,2014-01-02,2025-12-30
103590,일진전기,2830.0,KOSPI,survivor,,7.5208,0.1956,-0.866,0.5105,2024:159%,2015:-34%,911429222.722168,sideways,clean,False,0,0,0,0.006,3,,,2941,2014-01-02,2025-12-30
101930,인화정공,31114.0,,survivor,,7.486,0.1952,-0.6366,0.4096,2024:164%,2019:-15%,85960398.4588623,spike,clean,False,0,0,0,0.006,3,,,2941,2014-01-02,2025-12-30
310210,보로노이,701.0,KOSDAQ,survivor,,7.4679,0.8379,-0.6041,0.7977,2025:172%,2024:48%,10923868500.0,spike,clean,False,0,0,0,0.0,2,,,859,2022-06-27,2025-12-30
068760,셀트리온제약,212.0,,survivor,,7.4419,0.1947,-0.7892,0.5606,2020:511%,2021:-46%,6898159132.46875,spike,clean,False,0,0,0,0.006,3,,,2941,2014-01-02,2025-12-30
060370,LS마린솔루션,423.0,,survivor,,7.3435,0.1935,-0.7232,0.5055,2023:124%,2018:-27%,1099534386.7382812,spike,clean,False,0,0,0,0.005,3,,,2941,2014-01-02,2025-12-30
180640,한진칼,64992.0,,survivor,,7.0649,0.1902,-0.6785,0.5656,2023:95%,2022:-39%,7185379837.71875,sideways,clean,False,0,0,0,0.006,3,,,2941,2014-01-02,2025-12-30
094480,갤럭시아머니트리,58221.0,,survivor,,7.0274,0.1897,-0.8034,0.672,2021:275%,2022:-69%,919486790.4858398,spike,clean,False,0,0,0,0.006,3,,,2941,2014-01-02,2025-12-30
051160,지어소프트,58221.0,,survivor,,6.9939,0.1893,-0.7832,0.6475,2020:236%,2022:-52%,691524780.0,spike,clean,False,0,0,0,0.005,3,,,2941,2014-01-02,2025-12-30
078600,대주전자재료,2629.0,KOSDAQ,survivor,,6.9781,0.1891,-0.723,0.5561,2017:230%,2022:-33%,5472863531.90625,sideways,clean,False,0,0,0,0.005,4,,,2941,2014-01-02,2025-12-30
004105,태양금속우,,,survivor,,6.9473,0.1887,-0.8657,0.7808,2015:535%,2024:-49%,110530564.96875,spike,clean,False,0,0,0,0.009,11,,,2941,2014-01-02,2025-12-30
039490,키움증권,66121.0,KOSPI,survivor,,6.7736,0.1865,-0.5748,0.3968,2025:159%,2022:-19%,4570025138.65625,spike,clean,False,0,0,0,0.006,3,,,2941,2014-01-02,2025-12-30
000150,두산,26221.0,KOSPI,survivor,,6.7364,0.186,-0.8208,0.5278,2025:208%,2019:-39%,5790127029.875,sideways,clean,False,0,0,0,0.011,12,,,2941,2014-01-02,2025-12-30
095610,테스,29271.0,KOSDAQ,survivor,,6.7333,0.186,-0.7505,0.5119,2025:193%,2018:-67%,3839525815.289063,sideways,clean,False,0,0,0,0.005,3,,,2941,2014-01-02,2025-12-30
092460,한라IMS,31114.0,,survivor,,6.6247,0.1846,-0.7735,0.4632,2025:116%,2017:-30%,196413869.67456052,spike,clean,False,0,0,0,0.005,3,,,2941,2014-01-02,2025-12-30
281740,레이크머티리얼즈,204.0,,survivor,,6.5942,0.2864,-0.6806,0.5702,2023:297%,2024:-37%,2306200931.807129,spike,clean,False,0,0,0,0.073,45,,,1971,2017-12-12,2025-12-30
067310,하나마이크론,2611.0,KOSDAQ,survivor,,6.594,0.1842,-0.7281,0.5295,2023:214%,2024:-62%,3317699302.5820312,sideways,clean,False,0,0,0,0.005,3,,,2941,2014-01-02,2025-12-30
019010,베뉴지,47111.0,,survivor,,6.5895,0.1841,-0.6404,0.3349,2018:50%,2019:-3%,86377648.77929688,sideways,clean,False,0,0,0,0.009,10,,,2941,2014-01-02,2025-12-30
025980,아난티,551.0,,survivor,,6.529,0.1833,-0.8767,0.6001,2015:256%,2019:-45%,4700656300.0,spike,clean,False,0,0,0,0.009,11,,,2941,2014-01-02,2025-12-30
007330,푸른저축은행,64132.0,,survivor,,6.4311,0.1821,-0.6337,0.4221,2015:97%,2023:-25%,62814908.06103516,sideways,clean,False,0,0,0,0.006,5,,,2941,2014-01-02,2025-12-30
003310,대주산업,109.0,,survivor,,6.412,0.1818,-0.8331,0.6105,2025:143%,2018:-34%,690965184.9648438,spike,clean,False,0,0,0,0.006,4,,,2941,2014-01-02,2025-12-30
079370,제우스,29271.0,,survivor,,6.3526,0.181,-0.694,0.5052,2020:114%,2018:-30%,1345616131.388672,spike,clean,False,0,0,0,0.005,3,,,2941,2014-01-02,2025-12-30
043260,성호전자,26291.0,KOSDAQ,survivor,,6.3043,0.1804,-0.7575,0.5056,2025:724%,2022:-26%,299799787.0,spike,clean,False,0,0,0,0.006,3,,,2941,2014-01-02,2025-12-30
232140,와이씨,292.0,KOSDAQ,survivor,,6.24,0.2185,-0.7663,0.5718,2017:163%,2018:-63%,1344553440.0,spike,clean,False,0,0,0,0.03,54,,,2451,2015-12-24,2025-12-30
089890,코세스,29271.0,,survivor,,6.2379,0.1795,-0.7821,0.608,2025:231%,2024:-39%,485888400.0,spike,clean,False,0,0,0,0.005,3,,,2941,2014-01-02,2025-12-30
131290,티에스이,27212.0,,survivor,,6.233,0.1794,-0.6938,0.5396,2020:356%,2018:-60%,945674384.9882812,sideways,clean,False,0,0,0,0.005,3,,,2941,2014-01-02,2025-12-30
175330,JB금융지주,64992.0,,survivor,,6.165,0.1785,-0.498,0.2636,2025:67%,2015:-9%,1487063799.296875,steady_grower,clean,False,0,0,0,0.006,3,,,2941,2014-01-02,2025-12-30
019180,티에이치엔,289.0,,survivor,,6.1505,0.1783,-0.6593,0.5094,2025:155%,2020:-29%,275661973.6484375,spike,clean,False,0,0,0,0.006,4,,,2941,2014-01-02,2025-12-30
083650,비에이치아이,29176.0,KOSDAQ,survivor,,6.1345,0.178,-0.8684,0.6412,2025:239%,2015:-55%,715204800.0,spike,clean,False,0,0,0,0.005,3,,,2941,2014-01-02,2025-12-30
042600,새로닉스,2629.0,,survivor,,6.1302,0.178,-0.9006,0.6075,2020:276%,2024:-68%,222118610.0,sideways,clean,False,0,0,0,0.005,3,,,2941,2014-01-02,2025-12-30
030190,NICE평가정보,63991.0,,survivor,,6.1265,0.1779,-0.6746,0.4068,2015:119%,2016:-31%,1324738410.0292969,spike,clean,False,0,0,0,0.005,3,,,2941,2014-01-02,2025-12-30
101160,월덱스,262.0,,survivor,,6.0429,0.1768,-0.7263,0.5134,2017:125%,2022:-35%,1281305464.6542969,spike,clean,False,0,0,0,0.006,4,,,2941,2014-01-02,2025-12-30
458870,씨어스,27199.0,,survivor,,6.0324,2.5768,-0.5362,0.7159,2025:1138%,2025:1138%,2271712068.6152344,spike,clean,False,0,0,0,0.0,1,,,372,2024-06-19,2025-12-30
068270,셀트리온,21100.0,KOSPI,survivor,,5.9966,0.1761,-0.6445,0.4422,2015:124%,2021:-44%,89798969604.5,sideways,clean,False,0,0,0,0.006,3,,,2941,2014-01-02,2025-12-30
228760,지노믹트리,701.0,,survivor,,5.9936,0.2286,-0.778,0.5912,2018:294%,2020:-38%,1127408275.0,spike,clean,False,0,0,0,0.067,32,,,2314,2016-07-19,2025-12-30
290650,엘앤씨바이오,212.0,KOSDAQ,survivor,,5.9087,0.3098,-0.7031,0.5628,2020:305%,2022:-37%,4284295335.3515625,spike,clean,False,0,0,0,0.006,3,,,1757,2018-11-01,2025-12-30
207940,삼성바이오로직스,211.0,KOSPI,survivor,,5.8985,0.2355,-0.5728,0.3807,2017:146%,2022:-8%,55857562341.64063,spike,clean,False,0,0,0,0.021,18,,,2236,2016-11-11,2025-12-30
123690,한국화장품,46443.0,,survivor,,5.8767,0.1744,-0.7699,0.6139,2015:153%,2018:-38%,1225946500.0,spike,clean,False,0,0,0,0.006,3,,,2941,2014-01-02,2025-12-30
039030,이오테크닉스,29271.0,KOSDAQ,survivor,,5.8586,0.1742,-0.7457,0.5447,2023:130%,2018:-56%,8151543801.03125,spike,clean,False,0,0,0,0.004,2,,,2941,2014-01-02,2025-12-30
079940,가비아,58221.0,,survivor,,5.8541,0.1741,-0.5224,0.4435,2025:96%,2022:-24%,639563765.0390625,sideways,clean,False,0,0,0,0.005,3,,,2941,2014-01-02,2025-12-30
003540,대신증권,66121.0,,survivor,,5.8355,0.1738,-0.5601,0.2893,2025:81%,2022:-25%,911026700.0595704,sideways,clean,False,0,0,0,0.005,3,,,2941,2014-01-02,2025-12-30
039440,에스티아이,29271.0,,survivor,,5.8192,0.1736,-0.7314,0.5593,2017:151%,2018:-64%,2699953370.078125,sideways,clean,False,0,0,0,0.006,3,,,2941,2014-01-02,2025-12-30
000500,가온전선,28302.0,,survivor,,5.8133,0.1735,-0.6469,0.4787,2024:156%,2018:-23%,197555307.45117188,spike,clean,False,0,0,0,0.005,3,,,2941,2014-01-02,2025-12-30
048410,현대바이오,204.0,KOSDAQ,survivor,,5.8063,0.1734,-0.8293,0.7585,2019:159%,2024:-43%,5522095436.828125,spike,clean,False,0,0,0,0.005,3,,,2941,2014-01-02,2025-12-30
098460,고영,29271.0,KOSDAQ,survivor,,5.7563,0.1727,-0.7364,0.4627,2025:185%,2024:-51%,3921315658.4179688,spike,clean,False,0,0,0,0.007,3,,,2941,2014-01-02,2025-12-30
079550,LIG디펜스앤에어로스페이스,25200.0,KOSPI,survivor,,5.756,0.205,-0.8666,0.4829,2021:129%,2018:-37%,8255032837.3125,spike,clean,False,0,0,0,0.006,3,,,2509,2015-10-02,2025-12-30
031980,피에스케이홀딩스,29271.0,KOSDAQ,survivor,,5.7321,0.3353,-0.6564,0.6139,2023:302%,2022:-59%,1076509656.0351562,spike,clean,False,0,0,0,0.007,3,,,1619,2019-05-27,2025-12-30
001720,신영증권,66121.0,,survivor,,5.7201,0.1722,-0.3444,0.2377,2025:88%,2015:-7%,161282171.8984375,steady_grower,clean,False,0,0,0,0.005,4,,,2941,2014-01-02,2025-12-30
097520,엠씨넥스,26519.0,,survivor,,5.685,0.1717,-0.7285,0.4979,2015:255%,2022:-51%,2144013412.631836,spike,clean,False,0,0,0,0.005,4,,,2941,2014-01-02,2025-12-30
056080,유진로봇,292.0,KOSDAQ,survivor,,5.6667,0.1714,-0.8284,0.5765,2023:190%,2024:-45%,1087356720.0,spike,clean,False,0,0,0,0.006,3,,,2941,2014-01-02,2025-12-30
059090,미코,261.0,,survivor,,5.6543,0.1712,-0.6904,0.5796,2020:162%,2022:-49%,2133407550.0,spike,clean,False,0,0,0,0.006,3,,,2941,2014-01-02,2025-12-30
080220,제주반도체,2611.0,KOSDAQ,survivor,,5.5957,0.1704,-0.7851,0.6062,2023:283%,2022:-45%,1515339460.0,spike,clean,False,0,0,0,0.005,3,,,2941,2014-01-02,2025-12-30
009780,엠에스씨,108.0,,survivor,,5.557,0.1698,-0.6343,0.5243,2016:75%,2019:-36%,103906986.40185548,sideways,clean,False,0,0,0,0.009,13,,,2941,2014-01-02,2025-12-30
229640,LS에코에너지,64992.0,,survivor,,5.4645,0.2231,-0.5512,0.526,2023:189%,2018:-8%,915534932.0766602,spike,clean,False,0,0,0,0.004,2,,,2270,2016-09-23,2025-12-30
